date,A. First App Open - Total,B. Read Oboarding - Total,C. Sign Up - Total,D. Load Topic - Total,E. Topic Choosed - Total,F. Load Learning Page - Total,G. Sub Topic Choosed - Total,H. Read Material - Total,I. Correct Answer Quiz - Total,J. Finish Hooray - Total,K. Exercise Choosed - Total,L. Exercise Choosed - Total,M. Correct Answer Exercise - Total,N. Finish Hooray - Total
4/26/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2022,1,0,0,2,1,1,1,1,3,1,0,0,0,1
4/28/2022,6,11,3,8,8,8,12,12,25,12,6,6,3,12
4/29/2022,1,0,0,2,1,1,0,0,0,0,0,0,0,0
4/30/2022,3,3,1,5,6,6,7,7,14,8,4,4,3,8
5/1/2022,1,3,0,2,3,3,2,2,6,4,3,3,3,4
5/2/2022,2,0,0,3,0,0,0,0,0,0,0,0,0,0
5/3/2022,0,0,0,1,1,1,0,0,0,0,0,0,0,0
5/4/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/5/2022,1,0,0,3,7,7,5,5,8,6,4,4,3,6
5/6/2022,0,0,0,2,18,18,0,0,0,2,2,2,2,2
5/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/2022,1,3,2,2,2,2,5,5,15,9,6,6,4,9
5/9/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/10/2022,2,12,1,2,1,1,1,1,5,0,0,0,0,0
5/11/2022,2,1,0,4,4,4,4,4,5,0,0,0,0,0
5/12/2022,3,12,5,10,24,24,13,13,14,10,9,9,5,10
5/13/2022,0,0,3,7,22,22,32,32,37,29,23,23,16,29
5/14/2022,0,0,0,2,5,5,2,2,3,4,5,5,3,4
5/15/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2022,3,7,1,2,2,2,2,2,0,0,0,0,0,0
5/17/2022,0,0,0,1,0,0,0,0,3,2,4,4,1,2
5/18/2022,1,0,0,2,1,1,0,0,0,0,0,0,0,0
5/19/2022,1,3,1,4,2,2,1,1,0,0,1,1,0,0
5/20/2022,1,0,0,4,2,2,1,1,3,5,5,5,4,5
5/21/2022,0,0,0,1,6,6,5,5,2,1,0,0,0,1
5/22/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/2022,0,0,0,4,2,2,1,1,3,4,4,4,3,4
5/25/2022,2,6,2,3,4,4,2,2,3,1,0,0,0,1
5/26/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/2022,2,5,1,10,7,7,7,7,0,0,0,0,0,0
5/28/2022,0,0,0,1,2,2,2,2,3,4,3,3,3,4
5/29/2022,1,3,2,1,2,2,2,2,7,5,3,3,3,5
5/30/2022,4,11,3,7,8,8,8,8,13,11,12,12,7,11
5/31/2022,2,4,3,4,4,4,5,5,11,5,5,5,3,5
6/1/2022,2,0,0,5,12,12,9,9,5,5,4,4,3,5
6/2/2022,1,6,2,4,3,3,6,6,11,7,4,4,3,7
6/3/2022,1,2,0,4,4,4,11,11,24,12,5,5,3,12
6/4/2022,0,3,1,1,1,1,1,1,0,0,0,0,0,0
6/5/2022,0,0,0,5,2,2,1,1,0,0,0,0,0,0
6/6/2022,1,1,0,1,1,1,1,1,0,0,0,0,0,0
6/7/2022,1,8,1,8,10,10,9,9,20,13,9,9,6,13
6/8/2022,0,0,0,3,4,4,6,6,11,9,6,6,5,9
6/9/2022,1,3,3,2,6,6,2,2,3,4,4,4,3,4
6/10/2022,0,0,0,1,2,2,0,0,0,0,0,0,0,0
6/11/2022,2,0,0,3,1,1,0,0,0,3,4,4,3,3
6/12/2022,0,0,0,1,2,2,4,4,5,2,0,0,0,2
6/13/2022,1,3,2,2,2,2,3,3,7,1,1,1,0,1
6/14/2022,2,3,3,2,2,2,5,5,14,9,5,5,4,9
6/15/2022,1,3,1,2,1,1,1,1,3,1,0,0,0,1
6/16/2022,1,3,4,4,7,7,12,12,17,6,4,4,2,6
6/17/2022,0,0,0,2,6,6,2,2,0,0,0,0,0,0
6/18/2022,0,0,0,3,4,4,5,5,2,2,2,2,1,2
6/19/2022,1,3,1,3,4,4,2,2,5,5,5,5,3,5
6/20/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2022,1,3,1,4,1,1,1,1,0,0,0,0,0,0
6/22/2022,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6/23/2022,1,4,2,4,5,5,6,6,10,6,3,3,3,6
6/24/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/25/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/2022,5,13,4,54,22,22,26,26,13,8,5,5,4,8
6/27/2022,2,5,2,24,15,15,9,9,2,1,0,0,0,1
6/28/2022,0,0,0,4,0,0,0,0,0,0,0,0,0,0
6/29/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/30/2022,2,6,2,12,24,24,11,11,8,4,3,3,0,4
7/1/2022,2,8,7,3,4,4,4,4,12,6,5,5,2,6
7/2/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/3/2022,0,0,0,2,1,1,1,1,1,0,0,0,0,0
7/4/2022,0,0,0,3,1,1,1,1,0,0,0,0,0,0
7/5/2022,0,0,0,9,10,10,3,3,6,7,8,8,4,7
7/6/2022,0,0,0,4,2,2,3,3,2,1,0,0,0,1
7/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/8/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/9/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/2022,1,3,1,1,1,1,1,1,3,1,0,0,0,1
7/11/2022,0,0,0,2,1,1,2,2,0,0,1,1,0,0
7/12/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/2022,0,0,0,1,5,5,3,3,0,1,1,1,1,1
7/15/2022,2,5,0,4,4,4,3,3,4,3,1,1,1,3
7/16/2022,0,0,2,6,9,9,13,13,20,11,6,6,4,11
7/17/2022,1,5,1,2,3,3,5,5,8,6,3,3,3,6
7/18/2022,1,3,2,3,7,7,18,18,36,24,12,12,11,24
7/19/2022,2,7,0,4,3,3,3,3,5,1,0,0,0,1
7/20/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/21/2022,2,3,3,2,4,4,0,0,0,0,0,0,0,0
7/22/2022,0,0,0,2,2,2,1,1,3,1,0,0,0,1
7/23/2022,0,0,2,4,4,4,2,2,4,1,0,0,0,1
7/24/2022,0,0,0,2,1,1,2,2,0,0,1,1,0,0
7/25/2022,1,0,0,1,1,1,1,1,0,0,0,0,0,0
7/26/2022,1,3,0,4,2,2,1,1,0,1,1,1,1,1
7/27/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/28/2022,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7/29/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/30/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7/31/2022,0,0,0,2,3,3,0,0,0,0,0,0,0,0
8/1/2022,0,0,0,1,1,1,1,1,3,2,1,1,1,2
8/2/2022,2,2,1,3,2,2,2,2,0,0,0,0,0,0
8/3/2022,4,12,1,6,5,5,4,4,5,0,0,0,0,0
8/4/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/5/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/6/2022,1,0,0,1,1,1,1,1,0,0,0,0,0,0
8/7/2022,0,0,0,1,2,2,1,1,3,2,1,1,1,2
8/8/2022,1,3,2,1,1,1,1,1,4,3,3,3,2,3
8/9/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8/10/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/11/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8/12/2022,0,0,0,4,1,1,1,1,0,0,1,1,0,0
8/13/2022,1,0,0,2,2,2,3,3,0,0,0,0,0,0
8/14/2022,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8/15/2022,1,3,1,1,2,2,5,5,14,10,12,12,5,10
8/16/2022,1,3,1,7,3,3,5,5,9,6,4,4,3,6
8/17/2022,1,0,0,3,3,3,0,0,0,0,0,0,0,0
8/18/2022,0,0,0,4,5,5,8,8,12,6,12,12,0,6
8/19/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8/20/2022,0,0,0,3,5,5,1,1,0,2,5,5,2,2
8/21/2022,1,3,1,5,7,7,11,11,12,7,3,3,1,7
8/22/2022,0,0,0,4,4,4,3,3,7,3,1,1,0,3
8/23/2022,1,3,2,2,3,3,5,5,11,7,3,3,3,7
8/24/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/25/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8/26/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8/27/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/2022,0,0,0,1,1,1,1,1,0,0,0,0,0,0
8/29/2022,1,10,1,4,5,5,3,3,3,2,1,1,1,2
8/30/2022,1,8,0,3,2,2,3,3,5,4,3,3,2,4
8/31/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2022,2,5,2,4,3,3,7,7,12,7,3,3,3,7
9/2/2022,0,0,1,2,1,1,0,0,0,0,0,0,0,0
9/3/2022,0,0,0,1,1,1,1,1,2,1,0,0,0,1
9/4/2022,0,0,0,4,5,5,4,4,8,4,4,4,1,4
9/5/2022,3,24,3,4,6,6,14,14,35,22,15,15,10,22
9/6/2022,0,0,0,1,1,1,1,1,0,0,0,0,0,0
9/7/2022,2,11,3,2,4,4,3,3,7,3,2,2,1,3
9/8/2022,2,8,5,5,8,8,14,14,21,13,7,7,6,13
9/9/2022,0,0,0,2,0,0,0,0,0,0,0,0,0,0
9/10/2022,1,0,2,5,3,3,3,3,8,2,0,0,0,2
9/11/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/12/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/13/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/14/2022,0,0,0,1,2,2,3,3,5,5,3,3,3,5
9/15/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/2022,0,0,0,1,3,3,6,6,10,5,2,2,1,5
9/17/2022,1,2,0,1,1,1,1,1,4,0,0,0,0,0
9/18/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/2022,1,3,0,1,1,1,1,1,4,0,0,0,0,0
9/20/2022,1,3,0,2,1,1,1,1,0,0,0,0,0,0
9/21/2022,1,2,0,3,0,0,0,0,0,0,0,0,0,0
9/22/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/23/2022,0,0,0,1,2,2,4,4,6,5,2,2,2,5
9/24/2022,2,5,5,5,16,16,15,15,35,23,14,14,11,23
9/25/2022,1,10,1,4,7,7,5,5,5,4,5,5,2,4
9/26/2022,2,11,1,2,1,1,1,1,3,1,0,0,0,1
9/27/2022,1,5,0,4,4,4,4,4,12,5,4,4,3,5
9/28/2022,1,0,0,1,1,1,2,2,4,0,0,0,0,0
9/29/2022,1,6,2,3,3,3,6,6,14,10,5,5,5,10
9/30/2022,1,3,1,1,1,1,1,1,3,1,1,1,0,1
10/1/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10/2/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10/3/2022,0,0,0,1,1,1,0,0,0,0,0,0,0,0
10/4/2022,0,0,1,7,8,8,8,8,11,4,4,4,3,4
10/5/2022,1,4,1,2,5,5,9,9,18,13,8,8,6,13
10/6/2022,1,4,1,1,1,1,1,1,3,3,3,3,2,3
10/7/2022,2,6,3,3,3,3,2,2,3,1,1,1,0,1
10/8/2022,0,0,0,2,1,1,5,5,14,6,1,1,1,6
10/9/2022,0,0,0,2,2,2,1,1,0,0,0,0,0,0
10/10/2022,1,3,0,1,0,0,0,0,0,0,0,0,0,0
10/11/2022,1,4,3,5,9,9,10,10,24,12,8,8,6,12
10/12/2022,0,0,0,1,2,2,2,2,3,1,1,1,0,1
10/13/2022,0,0,0,3,5,5,4,4,5,3,1,1,1,3
10/14/2022,0,0,0,1,1,1,1,1,5,0,0,0,0,0
10/15/2022,0,0,0,1,1,1,0,0,0,0,0,0,0,0
10/16/2022,2,7,4,6,4,4,4,4,6,1,0,0,0,1
10/17/2022,1,3,2,4,2,2,2,2,4,1,0,0,0,1
10/18/2022,0,0,0,2,2,2,5,5,6,3,2,2,0,3
10/19/2022,0,0,0,3,2,2,1,1,0,0,0,0,0,0
10/20/2022,0,0,7,4,4,4,2,2,8,0,0,0,0,0
10/21/2022,1,3,2,3,1,1,0,0,0,0,0,0,0,0
10/22/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/23/2022,0,0,0,2,1,1,1,1,3,1,1,1,1,1
10/24/2022,0,0,0,2,1,1,1,1,0,0,0,0,0,0
10/25/2022,0,0,0,1,2,2,0,0,0,0,2,2,1,0
10/26/2022,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10/27/2022,1,4,1,4,4,4,3,3,3,1,0,0,0,1
10/28/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10/29/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/2022,0,0,0,1,1,1,0,0,0,0,0,0,0,0
10/31/2022,0,0,0,3,0,0,0,0,0,0,0,0,0,0
11/1/2022,0,0,0,0,1,1,1,1,0,0,0,0,0,0
11/2/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/3/2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11/4/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/5/2022,1,3,3,4,7,7,9,9,20,15,9,9,9,15
11/6/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/7/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/8/2022,0,0,0,3,6,6,2,2,0,0,0,0,0,0
11/9/2022,1,3,2,3,6,6,4,4,3,6,9,9,5,6
11/10/2022,0,0,0,1,1,1,0,0,0,0,1,1,0,0
11/11/2022,1,3,1,4,11,11,7,7,3,2,4,4,1,2
11/12/2022,1,2,0,1,1,1,1,1,0,0,0,0,0,0
11/13/2022,0,0,0,1,2,2,0,0,0,0,0,0,0,0
11/14/2022,0,1,0,1,1,1,0,0,0,0,1,1,0,0
11/15/2022,1,3,1,3,4,4,3,3,3,4,3,3,3,4
11/16/2022,2,11,2,3,5,5,7,7,8,3,0,0,0,3
11/17/2022,1,13,0,2,1,1,0,0,0,0,1,1,0,0
11/18/2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11/19/2022,0,0,0,5,5,5,1,1,3,3,4,4,2,3
11/20/2022,0,0,0,3,2,2,1,1,0,0,3,3,0,0
11/21/2022,2,6,3,5,6,6,5,5,13,9,10,10,5,9
11/22/2022,2,12,4,6,16,16,18,18,36,24,18,18,11,24
11/23/2022,0,0,0,1,0,0,0,0,3,1,1,1,0,1
11/24/2022,3,9,4,4,10,10,5,5,9,7,6,6,4,7
11/25/2022,0,0,0,1,7,7,2,2,3,1,2,2,0,1
11/26/2022,2,6,1,4,3,3,7,7,14,8,6,6,3,8
11/27/2022,2,6,5,7,9,9,6,6,17,13,11,11,7,13
