date,first_time_download,installations,impressions,A. First App Open - Total,B. Read Oboarding - Total,C. Sign Up - Total,D. Load Topic - Total,E. Topic Choosed - Total,F. Load Learning Page - Total,G. Sub Topic Choosed - Total,H. Read Material - Total,I. Correct Answer Quiz - Total,J. Exercise Choosed - Total,K. Correct Answer Exercise - Total,L. Finish Hooray - Total
2022-08-17,0.0,0.0,28.0,1,0,0,3,3,3,0,0,0,0,0,0
2022-08-18,0.0,0.0,54.0,0,0,0,4,5,5,8,8,12,12,0,6
2022-08-19,2.0,0.0,44.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-08-20,1.0,1.0,32.0,0,0,0,3,5,5,1,1,0,5,2,2
2022-08-21,1.0,2.0,30.0,1,3,1,5,7,7,11,11,12,3,1,7
2022-08-22,3.0,0.0,45.0,0,0,0,4,4,4,3,3,7,1,0,3
2022-08-23,3.0,2.0,69.0,1,3,2,2,3,3,5,5,11,3,3,7
2022-08-24,1.0,0.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-25,1.0,0.0,39.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-08-26,1.0,0.0,38.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-08-27,0.0,0.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28,0.0,0.0,31.0,0,0,0,1,1,1,1,1,0,0,0,0
2022-08-29,2.0,1.0,44.0,1,10,1,4,5,5,3,3,3,1,1,2
2022-08-30,1.0,3.0,53.0,1,8,0,3,2,2,3,3,5,3,2,4
2022-08-31,0.0,0.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,2.0,1.0,35.0,2,5,2,4,3,3,7,7,12,3,3,7
2022-09-02,0.0,0.0,49.0,0,0,1,2,1,1,0,0,0,0,0,0
2022-09-03,4.0,1.0,57.0,0,0,0,1,1,1,1,1,2,0,0,1
2022-09-04,0.0,0.0,72.0,0,0,0,4,5,5,4,4,8,4,1,4
2022-09-05,2.0,1.0,57.0,3,24,3,4,6,6,14,14,35,15,10,22
2022-09-06,5.0,1.0,54.0,0,0,0,1,1,1,1,1,0,0,0,0
2022-09-07,2.0,1.0,61.0,2,11,3,2,4,4,3,3,7,2,1,3
2022-09-08,3.0,2.0,77.0,2,8,5,5,8,8,14,14,21,7,6,13
2022-09-09,5.0,0.0,49.0,0,0,0,2,0,0,0,0,0,0,0,0
2022-09-10,1.0,0.0,46.0,1,0,2,5,3,3,3,3,8,0,0,2
2022-09-11,4.0,3.0,62.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-12,0.0,0.0,55.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-13,0.0,0.0,34.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-14,1.0,0.0,41.0,0,0,0,1,2,2,3,3,5,3,3,5
2022-09-15,0.0,0.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-16,0.0,0.0,50.0,0,0,0,1,3,3,6,6,10,2,1,5
2022-09-17,2.0,0.0,36.0,1,2,0,1,1,1,1,1,4,0,0,0
2022-09-18,0.0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-19,5.0,1.0,61.0,1,3,0,1,1,1,1,1,4,0,0,0
2022-09-20,0.0,1.0,54.0,1,3,0,2,1,1,1,1,0,0,0,0
2022-09-21,3.0,0.0,73.0,1,2,0,3,0,0,0,0,0,0,0,0
2022-09-22,2.0,0.0,38.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-09-23,1.0,0.0,43.0,0,0,0,1,2,2,4,4,6,2,2,5
2022-09-24,2.0,1.0,43.0,2,5,5,5,16,16,15,15,35,14,11,23
2022-09-25,0.0,0.0,30.0,1,10,1,4,7,7,5,5,5,5,2,4
2022-09-26,1.0,0.0,46.0,2,11,1,2,1,1,1,1,3,0,0,1
2022-09-27,3.0,1.0,63.0,1,5,0,4,4,4,4,4,12,4,3,5
2022-09-28,5.0,1.0,68.0,1,0,0,1,1,1,2,2,4,0,0,0
2022-09-29,2.0,1.0,54.0,1,6,2,3,3,3,6,6,14,5,5,10
2022-09-30,3.0,1.0,57.0,1,3,1,1,1,1,1,1,3,1,0,1
2022-10-01,4.0,1.0,42.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-10-02,1.0,0.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-10-03,1.0,1.0,41.0,0,0,0,1,1,1,0,0,0,0,0,0
2022-10-04,2.0,0.0,43.0,0,0,1,7,8,8,8,8,11,4,3,4
2022-10-05,2.0,1.0,50.0,1,4,1,2,5,5,9,9,18,8,6,13
2022-10-06,3.0,1.0,73.0,1,4,1,1,1,1,1,1,3,3,2,3
2022-10-07,3.0,1.0,67.0,2,6,3,3,3,3,2,2,3,1,0,1
2022-10-08,1.0,0.0,41.0,0,0,0,2,1,1,5,5,14,1,1,6
2022-10-09,0.0,0.0,49.0,0,0,0,2,2,2,1,1,0,0,0,0
2022-10-10,2.0,1.0,51.0,1,3,0,1,0,0,0,0,0,0,0,0
2022-10-11,1.0,0.0,92.0,1,4,3,5,9,9,10,10,24,8,6,12
2022-10-12,4.0,2.0,48.0,0,0,0,1,2,2,2,2,3,1,0,1
2022-10-13,0.0,1.0,70.0,0,0,0,3,5,5,4,4,5,1,1,3
2022-10-14,0.0,0.0,40.0,0,0,0,1,1,1,1,1,5,0,0,0
2022-10-15,0.0,0.0,54.0,0,0,0,1,1,1,0,0,0,0,0,0
2022-10-16,5.0,1.0,51.0,2,7,4,6,4,4,4,4,6,0,0,1
2022-10-17,5.0,3.0,58.0,1,3,2,4,2,2,2,2,4,0,0,1
2022-10-18,0.0,0.0,56.0,0,0,0,2,2,2,5,5,6,2,0,3
2022-10-19,2.0,1.0,65.0,0,0,0,3,2,2,1,1,0,0,0,0
2022-10-20,3.0,2.0,64.0,0,0,7,4,4,4,2,2,8,0,0,0
2022-10-21,0.0,0.0,54.0,1,3,2,3,1,1,0,0,0,0,0,0
2022-10-22,3.0,1.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-23,2.0,1.0,48.0,0,0,0,2,1,1,1,1,3,1,1,1
2022-10-24,0.0,2.0,48.0,0,0,0,2,1,1,1,1,0,0,0,0
2022-10-25,4.0,0.0,84.0,0,0,0,1,2,2,0,0,0,2,1,0
2022-10-26,2.0,5.0,58.0,0,0,0,3,0,0,0,0,0,0,0,0
2022-10-27,2.0,2.0,58.0,1,4,1,4,4,4,3,3,3,0,0,1
2022-10-28,0.0,0.0,42.0,0,0,0,1,0,0,0,0,0,0,0,0
2022-10-29,2.0,0.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-30,2.0,0.0,72.0,0,0,0,1,1,1,0,0,0,0,0,0
2022-10-31,1.0,1.0,49.0,0,0,0,3,0,0,0,0,0,0,0,0
2022-11-01,3.0,0.0,55.0,0,0,0,0,1,1,1,1,0,0,0,0
2022-11-02,1.0,1.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-03,3.0,0.0,58.0,0,1,0,0,0,0,0,0,0,0,0,0
2022-11-04,0.0,0.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05,3.0,0.0,52.0,1,3,3,4,7,7,9,9,20,9,9,15
2022-11-06,3.0,1.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-07,2.0,1.0,87.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08,3.0,2.0,59.0,0,0,0,3,6,6,2,2,0,0,0,0
2022-11-09,1.0,0.0,65.0,1,3,2,3,6,6,4,4,3,9,5,6
2022-11-10,2.0,2.0,57.0,0,0,0,1,1,1,0,0,0,1,0,0
2022-11-11,2.0,1.0,60.0,1,3,1,4,11,11,7,7,3,4,1,2
2022-11-12,5.0,1.0,61.0,1,2,0,1,1,1,1,1,0,0,0,0
2022-11-13,1.0,2.0,58.0,0,0,0,1,2,2,0,0,0,0,0,0
2022-11-14,1.0,0.0,38.0,0,1,0,1,1,1,0,0,0,1,0,0
